form,control,ctype,text,align,dock,anchor,match,port_hint,status,notes
AliasSectionEditor,CancelToolStripMenuItem,?,"""Cancel""",,,,none,,GAP?,
AliasSectionEditor,ImCheckBox,ImageList,,,,,none,,GAP?,
AliasSectionEditor,CmMenu,ContextMenuStrip,,,,,none,,GAP?,
AliasSectionEditor,TtControl,LazWorks.Library.Controls.ToolTipPlus,,,,,none,,GAP?,
BackupManager,TlBackupManager,?,,,System.Windows.Forms.DockStyle.Fill,,none,,GAP?,
BackupManager,TlActions,?,,,System.Windows.Forms.DockStyle.Fill,,none,,GAP?,
BackupManager,BtAction,?,"""Restore""",,,,none,,GAP?,
BackupManager,BtDelete,?,"""Delete""",,,,none,,GAP?,
BackupManager,BtCancel,?,"""Cancel""",,,,none,,GAP?,
BackupManager,MlStatus,?,,,,"CType((System.Windows.Forms.AnchorStyles.Left Or System.Windows.Forms.AnchorStyles.Right), System.Windows.Forms.AnchorStyles)",none,,GAP?,
BackupManager,TlBackupManagerHdg,?,,,System.Windows.Forms.DockStyle.Fill,,none,,GAP?,
BackupManager,PicBackupManager,?,,,System.Windows.Forms.DockStyle.Fill,,none,,GAP?,
BackupManager,LbBackupManager,?,"""Manage and view your Data Backups, Exported Settings and Mod Exports""",,,"CType((System.Windows.Forms.AnchorStyles.Left Or System.Windows.Forms.AnchorStyles.Right), System.Windows.Forms.AnchorStyles)",none,,GAP?,
BackupManager,BhBackupManager,?,"""ButtonLabel1""",,,System.Windows.Forms.AnchorStyles.Left,none,,GAP?,
BackupManager,TbBackupManager,?,,,System.Windows.Forms.DockStyle.Fill,,none,,GAP?,
BackupManager,TpBackups,?,"""Data Backups""",,,,none,,GAP?,
BackupManager,TlBackups,?,,,System.Windows.Forms.DockStyle.Fill,,none,,GAP?,
BackupManager,LvBackups,?,,,System.Windows.Forms.DockStyle.Fill,,none,,GAP?,
BackupManager,ColumnHeaderPlus1,?,"""Date Saved""",,,,none,,GAP?,
BackupManager,ColumnHeaderPlus11,?,"""Time Saved""",,,,none,,GAP?,
BackupManager,ColumnHeaderPlus13,?,"""Version""",,,,none,,GAP?,
BackupManager,ColumnHeaderPlus14,?,"""Size""",,,,none,,GAP?,
BackupManager,ColumnHeaderPlus12,?,"""User""",,,,none,,GAP?,
BackupManager,TpSettings,?,"""Exported Settings""",,,,none,,GAP?,
BackupManager,TlSettings,?,,,System.Windows.Forms.DockStyle.Fill,,none,,GAP?,
BackupManager,LvSettings,?,,,System.Windows.Forms.DockStyle.Fill,,none,,GAP?,
BackupManager,ColumnHeaderPlus2,?,"""Date Saved""",,,,none,,GAP?,
BackupManager,ColumnHeaderPlus7,?,"""Time Saved""",,,,none,,GAP?,
BackupManager,ColumnHeaderPlus9,?,"""Version""",,,,none,,GAP?,
BackupManager,ColumnHeaderPlus10,?,"""Size""",,,,none,,GAP?,
BackupManager,ColumnHeaderPlus8,?,"""User""",,,,none,,GAP?,
BackupManager,TpMods,?,"""Exported Mods""",,,,none,,GAP?,
BackupManager,TlMods,?,,,System.Windows.Forms.DockStyle.Fill,,none,,GAP?,
BackupManager,LvMods,?,,,System.Windows.Forms.DockStyle.Fill,,strong,vaultkeeper/ui/controller.py,AUTO-PORTED,
BackupManager,ChModName,?,"""Mod Name""",,,,none,,GAP?,
BackupManager,ChDateSaved,?,"""Date Saved""",,,,none,,GAP?,
BackupManager,ChTimeSaved,?,"""Time Saved""",,,,none,,GAP?,
BackupManager,ChModSize,?,"""Size""",,,,none,,GAP?,
BackupManager,BgBackups,System.ComponentModel.BackgroundWorker,,,,,none,,GAP?,
BackupManager,BgSettings,System.ComponentModel.BackgroundWorker,,,,,none,,GAP?,
BackupManager,BgMods,System.ComponentModel.BackgroundWorker,,,,,none,,GAP?,
BasicSettings,LpMain,?,,,System.Windows.Forms.DockStyle.Fill,,none,,GAP?,
BasicSettings,TbPreferences,?,,,System.Windows.Forms.DockStyle.Fill,,none,,GAP?,
BasicSettings,TpBehaviour,?,"""Behaviour""",,,,none,,GAP?,
BasicSettings,LpBehaviour,?,,,System.Windows.Forms.DockStyle.Fill,,none,,GAP?,
BasicSettings,LbInstallActions,?,"""Install action to take after creating Mod Installers""",,,,none,,GAP?,
BasicSettings,CbInstallAuto,?,"""Always install Mods""",,,System.Windows.Forms.AnchorStyles.Left,none,,GAP?,
BasicSettings,CbInstallRestore,?,"""Only install Mods that were already installed""",,,System.Windows.Forms.AnchorStyles.Left,none,,GAP?,
BasicSettings,LbStartupActions,?,"""Actions to take when you start the Installer Tool""",,,,none,,GAP?,
BasicSettings,RbWindowRestore,?,"""Restore Window position and layout""",,,,none,,GAP?,
BasicSettings,RbWindowDefault,?,"""Use default Window position and layout""",,,,none,,GAP?,
BasicSettings,CbPlayStartSound,?,"""Play NIT's start-up sound""",,,,none,,GAP?,
BasicSettings,LbPlayNwn,?,"""Actions to take when you start and close Neverwinter Nights""",,,,none,,GAP?,
BasicSettings,CbBehaviourSelectGameMod,?,"""Select the Mod being played when you press Play Neverwinter Nights""",,,System.Windows.Forms.AnchorStyles.Left,none,,GAP?,
BasicSettings,CbBehaviourAutoCharacter,?,"""Create Character Restorers automatically when you close Neverwinter Nights""",,,,none,,GAP?,
BasicSettings,CbCopyDebugModeOnPlay,?,"""Copy DebugMode 1 to the clipboard when playing an existing Neverwinter Nights gam"" &",,,System.Windows.Forms.AnchorStyles.Left,none,,GAP?,
BasicSettings,CbConfigCopyOnPlay,?,"""Copy the Mod name to the clipboard when starting a new Neverwinter Nights game""",,,System.Windows.Forms.AnchorStyles.Left,none,,GAP?,
BasicSettings,TpUserInterface,?,"""User Interface""",,,,none,,GAP?,
BasicSettings,LpUserInterface,?,,,System.Windows.Forms.DockStyle.Fill,,none,,GAP?,
BasicSettings,LbSplitterLine,?,"""Thickness of line used to change panel size""",,,,none,,GAP?,
BasicSettings,RbDefaultLine,?,"""Default line thickness""",,,,none,,GAP?,
BasicSettings,RbMediumLine,?,"""Medium line thickness""",,,,none,,GAP?,
BasicSettings,RbLargeLine,?,"""Large line thickness""",,,,none,,GAP?,
BasicSettings,RbExtraLargeLine,?,"""Extra large line thickness""",,,,none,,GAP?,
BasicSettings,LnSample,?,,,System.Windows.Forms.DockStyle.Top,,none,,GAP?,
BasicSettings,LpActions,?,,,System.Windows.Forms.DockStyle.Fill,,none,,GAP?,
BasicSettings,BtCancel,?,"""Cancel""",,,,none,,GAP?,
BasicSettings,BtApply,?,"""Apply""",,,,comment,vaultkeeper/ui/dialogs/character_filter.py,AUTO-PORTED,matched in comment/docstring
BasicSettings,BtAdvanced,?,"""Advanced""",,,,none,,GAP?,
BasicSettings,LpHeading,?,,,System.Windows.Forms.DockStyle.Fill,,none,,GAP?,
BasicSettings,LbHeading,?,"""Change selected Behaviour and User Interface Preferences""",,,"CType((System.Windows.Forms.AnchorStyles.Left Or System.Windows.Forms.AnchorStyles.Right), System.Windows.Forms.AnchorStyles)",strong,vaultkeeper/ui/dialogs/doc_organiser.py | vaultkeeper/ui/dialogs/mod_play_viewer.py,AUTO-PORTED,
BasicSettings,PicHeading,?,,,System.Windows.Forms.DockStyle.Fill,,none,,GAP?,
BasicSettings,BhBasicSettings,?,"""ButtonLabel1""",,,System.Windows.Forms.AnchorStyles.Left,strong,vaultkeeper/ui/dialogs/settings_dialog.py,AUTO-PORTED,
BasicSettings,BtSelection,?,"""Selection""",,,,none,,GAP?,
BasicSettings,TtSettings,LazWorks.Library.Controls.ToolTipPlus,,,,,none,,GAP?,
BasicSettings,CmTheme,ContextMenuStrip,,,,,none,,GAP?,
BikToWbmDialogue,LpMain,?,,,System.Windows.Forms.DockStyle.Fill,,none,,GAP?,
BikToWbmDialogue,LpActions,?,,,System.Windows.Forms.DockStyle.Fill,,none,,GAP?,
BikToWbmDialogue,BtCancel,?,"""Cancel""",,,CType(((System.Windows.Forms.AnchorStyles.Bottom Or System.Windows.Forms.AnchorStyles.Left) _,none,,GAP?,
BikToWbmDialogue,LbOperation,?,"""Converting bik movie files to wbm format...""",,,"CType((System.Windows.Forms.AnchorStyles.Left Or System.Windows.Forms.AnchorStyles.Right), System.Windows.Forms.AnchorStyles)",none,,GAP?,
BikToWbmDialogue,PbInfo,?,"""Converted 1 of 10 bik files""",,,"CType((System.Windows.Forms.AnchorStyles.Left Or System.Windows.Forms.AnchorStyles.Right), System.Windows.Forms.AnchorStyles)",none,,GAP?,
BikToWbmDialogue,LbFolder,?,"""Folder Name""",,,"CType((System.Windows.Forms.AnchorStyles.Left Or System.Windows.Forms.AnchorStyles.Right), System.Windows.Forms.AnchorStyles)",none,,GAP?,
BikToWbmDialogue,LbFilename,?,"""Filename""",,,"CType((System.Windows.Forms.AnchorStyles.Left Or System.Windows.Forms.AnchorStyles.Right), System.Windows.Forms.AnchorStyles)",none,,GAP?,
BikToWbmDialogue,BgConverter,System.ComponentModel.BackgroundWorker,,,,,strong,vaultkeeper/game/bik_convert.py | vaultkeeper/game/installer_build.py | vaultkeeper/ui/controller.py,AUTO-PORTED,
CalculateCRCs,tlCRC,?,,,System.Windows.Forms.DockStyle.Fill,,none,,GAP?,
CalculateCRCs,lbFolder,?,"""Folder (NWN\Ambient)""",,,"CType((System.Windows.Forms.AnchorStyles.Left Or System.Windows.Forms.AnchorStyles.Right), System.Windows.Forms.AnchorStyles)",none,,GAP?,
CalculateCRCs,lbMod,?,"""Processing: Modname""",,,"CType((System.Windows.Forms.AnchorStyles.Left Or System.Windows.Forms.AnchorStyles.Right), System.Windows.Forms.AnchorStyles)",none,,GAP?,
CalculateCRCs,lbOperation,?,"""Operation (Calculating file CRCs)""",,,"CType((System.Windows.Forms.AnchorStyles.Left Or System.Windows.Forms.AnchorStyles.Right), System.Windows.Forms.AnchorStyles)",none,,GAP?,
CalculateCRCs,lbFileName,?,"""Filename""",,,"CType((System.Windows.Forms.AnchorStyles.Left Or System.Windows.Forms.AnchorStyles.Right), System.Windows.Forms.AnchorStyles)",none,,GAP?,
CalculateCRCs,lbMod1,?,"""Processing: Modname 1""",,,"CType((System.Windows.Forms.AnchorStyles.Left Or System.Windows.Forms.AnchorStyles.Right), System.Windows.Forms.AnchorStyles)",none,,GAP?,
CalculateCRCs,lbFolder1,?,"""Folder 1""",,,"CType((System.Windows.Forms.AnchorStyles.Left Or System.Windows.Forms.AnchorStyles.Right), System.Windows.Forms.AnchorStyles)",none,,GAP?,
CalculateCRCs,lbFileName1,?,"""Filename 1""",,,"CType((System.Windows.Forms.AnchorStyles.Left Or System.Windows.Forms.AnchorStyles.Right), System.Windows.Forms.AnchorStyles)",none,,GAP?,
CalculateCRCs,lbMod2,?,"""Processing: Modname 2""",,,"CType((System.Windows.Forms.AnchorStyles.Left Or System.Windows.Forms.AnchorStyles.Right), System.Windows.Forms.AnchorStyles)",none,,GAP?,
CalculateCRCs,lbFolder2,?,"""Folder 2""",,,"CType((System.Windows.Forms.AnchorStyles.Left Or System.Windows.Forms.AnchorStyles.Right), System.Windows.Forms.AnchorStyles)",none,,GAP?,
CalculateCRCs,lbFileName2,?,"""Filename 2""",,,"CType((System.Windows.Forms.AnchorStyles.Left Or System.Windows.Forms.AnchorStyles.Right), System.Windows.Forms.AnchorStyles)",none,,GAP?,
CalculateCRCs,lbMod3,?,"""Processing: Modname 3""",,,"CType((System.Windows.Forms.AnchorStyles.Left Or System.Windows.Forms.AnchorStyles.Right), System.Windows.Forms.AnchorStyles)",none,,GAP?,
CalculateCRCs,lbFolder3,?,"""Folder 3""",,,"CType((System.Windows.Forms.AnchorStyles.Left Or System.Windows.Forms.AnchorStyles.Right), System.Windows.Forms.AnchorStyles)",none,,GAP?,
CalculateCRCs,lbFileName3,?,"""Filename 3""",,,"CType((System.Windows.Forms.AnchorStyles.Left Or System.Windows.Forms.AnchorStyles.Right), System.Windows.Forms.AnchorStyles)",none,,GAP?,
CalculateCRCs,tlActions,?,,,System.Windows.Forms.DockStyle.Fill,,none,,GAP?,
CalculateCRCs,btCancel,?,"""Cancel""",,,CType(((System.Windows.Forms.AnchorStyles.Bottom Or System.Windows.Forms.AnchorStyles.Left) _,none,,GAP?,
CalculateCRCs,pbInfo,?,"""Progress Information""",,,"CType((System.Windows.Forms.AnchorStyles.Left Or System.Windows.Forms.AnchorStyles.Right), System.Windows.Forms.AnchorStyles)",none,,GAP?,
CalculateCRCs,bgCalculateCRC,System.ComponentModel.BackgroundWorker,,,,,none,,GAP?,
CalculateCRCs,bgCalculateCRC1,System.ComponentModel.BackgroundWorker,,,,,none,,GAP?,
CalculateCRCs,bgCalculateCRC2,System.ComponentModel.BackgroundWorker,,,,,none,,GAP?,
CalculateCRCs,bgCalculateCRC3,System.ComponentModel.BackgroundWorker,,,,,none,,GAP?,
CalculateCRCs,bgSecondCounter,System.ComponentModel.BackgroundWorker,,,,,none,,GAP?,
CharacterFilter,LpMain,?,,,System.Windows.Forms.DockStyle.Fill,,none,,GAP?,
CharacterFilter,LbLevel,?,"""Character Level Filter""",,,,none,,GAP?,
CharacterFilter,LbClass,?,"""Character Class Filter""",,,,none,,GAP?,
CharacterFilter,LvClassNames,?,,,System.Windows.Forms.DockStyle.Fill,,none,,GAP?,
CharacterFilter,ChClassNames,?,"""Class Names""",,,,none,,GAP?,
CharacterFilter,CmClear,?,"""Clear all marked classes""",,,,none,,GAP?,
CharacterFilter,LpLevelFilter,?,,,System.Windows.Forms.DockStyle.Fill,,none,,GAP?,
CharacterFilter,TxLevel,?,,,System.Windows.Forms.DockStyle.Top,,strong,vaultkeeper/ui/controller.py | vaultkeeper/ui/dialogs/character_filter.py,AUTO-PORTED,
CharacterFilter,LbLevelHelp,?,"""Label1""",,,,none,,GAP?,
CharacterFilter,LpActions,?,,,System.Windows.Forms.DockStyle.Fill,,none,,GAP?,
CharacterFilter,BtCancel,?,"""Cancel""",,,System.Windows.Forms.AnchorStyles.Left,none,,GAP?,
CharacterFilter,BtApply,?,"""Apply""",,,System.Windows.Forms.AnchorStyles.Left,comment,vaultkeeper/ui/dialogs/character_filter.py,AUTO-PORTED,matched in comment/docstring
CharacterFilter,MsgStatus,?,"""Status""",,,"CType((System.Windows.Forms.AnchorStyles.Left Or System.Windows.Forms.AnchorStyles.Right), System.Windows.Forms.AnchorStyles)",none,,GAP?,
CharacterFilter,BtReset,?,"""Reset""",,,System.Windows.Forms.AnchorStyles.Left,strong,vaultkeeper/ui/dialogs/character_filter.py,AUTO-PORTED,
CharacterFilter,SplitterLine1,?,,,System.Windows.Forms.DockStyle.Top,,none,,GAP?,
CharacterFilter,CmClassMenu,ContextMenuStrip,,,,,none,,GAP?,
CharacterViewer,LpMain,?,,,System.Windows.Forms.DockStyle.Fill,,none,,GAP?,
CharacterViewer,LpActions,?,,,System.Windows.Forms.DockStyle.Fill,,none,,GAP?,
CharacterViewer,BtSelect,?,"""Restorer""",,,System.Windows.Forms.AnchorStyles.Left,none,,GAP?,
CharacterViewer,BtClose,?,"""Close""",,,System.Windows.Forms.AnchorStyles.Left,none,,GAP?,
CharacterViewer,CbRanked,?,"""Only show Ranked Skills""",,,System.Windows.Forms.AnchorStyles.Left,none,,GAP?,
CharacterViewer,BtDescription,?,"""Description""",,,System.Windows.Forms.AnchorStyles.Left,none,,GAP?,
CharacterViewer,LcbFilter,?,"""Show all Levels""",,,System.Windows.Forms.AnchorStyles.Left,strong,vaultkeeper/game/character_filter.py | vaultkeeper/ui/dialogs/character_viewer.py,AUTO-PORTED,
CharacterViewer,LsbCharacters,?,,,,System.Windows.Forms.AnchorStyles.Left,none,,GAP?,
CharacterViewer,LvCharacters,?,,,System.Windows.Forms.DockStyle.Fill,,none,,GAP?,
CharacterViewer,ColumnHeaderPlus1,?,"""Files""",,,,none,,GAP?,
CharacterViewer,TsMenu,?,"""ToolStrip1""",,System.Windows.Forms.DockStyle.None,System.Windows.Forms.AnchorStyles.Left,none,,GAP?,
CharacterViewer,TsClipboard,?,,,,,none,,GAP?,
CharacterViewer,TsCopyDetails,?,"""Copy Summary Details to the Clipboard""",,,,none,,GAP?,
CharacterViewer,TsCopyLevel,?,"""Copy Level Summary to the Clipboard""",,,,none,,GAP?,
CharacterViewer,LpCharacterInfo,?,,,System.Windows.Forms.DockStyle.Fill,,none,,GAP?,
CharacterViewer,TabCharacter,?,,,System.Windows.Forms.DockStyle.Fill,,none,,GAP?,
CharacterViewer,TabSummary,?,"""Summary""",,,,none,,GAP?,
CharacterViewer,LbInfo,?,"""Character Info""",,,,none,,GAP?,
CharacterViewer,TabSkills,?,"""Skills""",,,,none,,GAP?,
CharacterViewer,LvSkills,?,,,System.Windows.Forms.DockStyle.Fill,,strong,vaultkeeper/game/character_reference.py,AUTO-PORTED,
CharacterViewer,SkillCol,?,"""Skill""",,,,none,,GAP?,
CharacterViewer,ColumnHeaderPlus2,?,"""Rank""",,,,none,,GAP?,
CharacterViewer,CmViewDescription,?,"""View Description""",,,,none,,GAP?,
CharacterViewer,TabFeats,?,"""Feats""",,,,none,,GAP?,
CharacterViewer,LvFeats,?,,,System.Windows.Forms.DockStyle.Fill,,strong,vaultkeeper/game/character_reference.py,AUTO-PORTED,
CharacterViewer,PicPortrait,?,,,,,none,,GAP?,
CharacterViewer,CmOpenPortraitManager,?,"""Open in Portrait Manager""",,,,none,,GAP?,
CharacterViewer,PnCharacters,?,,,System.Windows.Forms.DockStyle.Fill,,none,,GAP?,
CharacterViewer,SplitterLine1,?,,,System.Windows.Forms.DockStyle.Top,,none,,GAP?,
CharacterViewer,TtCommon,LazWorks.Library.Controls.ToolTipPlus,,,,,none,,GAP?,
CharacterViewer,ColumnHeaderPlus3,LazWorks.Library.ListViews.ColumnHeaderPlus,,,,,none,,GAP?,
CharacterViewer,CmDescription,ContextMenuStrip,,,,,none,,GAP?,
CharacterViewer,CmCharacterInfo,ContextMenuStrip,,,,,none,,GAP?,
CharacterViewer,CmPortrait,ContextMenuStrip,,,,,none,,GAP?,
ClassesSkillsAndFeats,LpMain,?,,,System.Windows.Forms.DockStyle.Fill,,none,,GAP?,
ClassesSkillsAndFeats,LpActions,?,,,System.Windows.Forms.DockStyle.Fill,,none,,GAP?,
ClassesSkillsAndFeats,BtClose,?,"""Close""",,,System.Windows.Forms.AnchorStyles.Left,none,,GAP?,
ClassesSkillsAndFeats,LsbFeats,?,,,,System.Windows.Forms.AnchorStyles.Left,none,,GAP?,
ClassesSkillsAndFeats,LvFeats,?,,,System.Windows.Forms.DockStyle.Fill,,strong,vaultkeeper/game/character_reference.py,AUTO-PORTED,
ClassesSkillsAndFeats,ColumnHeaderPlus1,?,"""Feats""",,,,none,,GAP?,
ClassesSkillsAndFeats,LsbSkills,?,,,,System.Windows.Forms.AnchorStyles.Left,none,,GAP?,
ClassesSkillsAndFeats,LvSkills,?,,,System.Windows.Forms.DockStyle.Fill,,strong,vaultkeeper/game/character_reference.py,AUTO-PORTED,
ClassesSkillsAndFeats,SkillCol,?,"""Skills""",,,,none,,GAP?,
ClassesSkillsAndFeats,LsbClasses,?,,,,System.Windows.Forms.AnchorStyles.Left,none,,GAP?,
ClassesSkillsAndFeats,LvClasses,?,,,System.Windows.Forms.DockStyle.Fill,,strong,vaultkeeper/game/character_reference.py,AUTO-PORTED,
ClassesSkillsAndFeats,ColumnHeaderPlus2,?,"""Classes""",,,,none,,GAP?,
ClassesSkillsAndFeats,TabMain,?,,,System.Windows.Forms.DockStyle.Fill,,none,,GAP?,
ClassesSkillsAndFeats,TpClasses,?,"""Classes""",,,,none,,GAP?,
ClassesSkillsAndFeats,TableLayoutPanel1,?,,,System.Windows.Forms.DockStyle.Fill,,none,,GAP?,
ClassesSkillsAndFeats,SplitterLine3,?,,,,,none,,GAP?,
ClassesSkillsAndFeats,LbClass,?,"""Description""",,System.Windows.Forms.DockStyle.Fill,,none,,GAP?,
ClassesSkillsAndFeats,TpSkills,?,"""Skills""",,,,none,,GAP?,
ClassesSkillsAndFeats,LpSkills,?,,,System.Windows.Forms.DockStyle.Fill,,none,,GAP?,
ClassesSkillsAndFeats,SplitterLine1,?,,,,,none,,GAP?,
ClassesSkillsAndFeats,LbSkill,?,"""Description""",,System.Windows.Forms.DockStyle.Fill,,none,,GAP?,
ClassesSkillsAndFeats,TpFeats,?,"""Feats""",,,,none,,GAP?,
ClassesSkillsAndFeats,LpFeats,?,,,System.Windows.Forms.DockStyle.Fill,,none,,GAP?,
ClassesSkillsAndFeats,SplitterLine2,?,,,,,none,,GAP?,
ClassesSkillsAndFeats,LbFeat,?,"""Description""",,System.Windows.Forms.DockStyle.Fill,,none,,GAP?,
CommonFiltersDialogue,LpMain,?,,,System.Windows.Forms.DockStyle.Fill,,none,,GAP?,
CommonFiltersDialogue,LpActions,?,,,System.Windows.Forms.DockStyle.Fill,,none,,GAP?,
CommonFiltersDialogue,BtApply,?,"""Apply""",,,,comment,vaultkeeper/ui/dialogs/character_filter.py,AUTO-PORTED,matched in comment/docstring
CommonFiltersDialogue,BtCancel,?,"""Cancel""",,,,none,,GAP?,
CommonFiltersDialogue,LpMainHeading,?,,,System.Windows.Forms.DockStyle.Fill,,none,,GAP?,
CommonFiltersDialogue,PicFilters,?,,,System.Windows.Forms.DockStyle.Fill,,none,,GAP?,
CommonFiltersDialogue,LbFilters,?,"""Apply filters to Mod lists. Clear the tick boxes to exclude Groups or Ratings fro"" &",,,"CType((System.Windows.Forms.AnchorStyles.Left Or System.Windows.Forms.AnchorStyles.Right), System.Windows.Forms.AnchorStyles)",none,,GAP?,
CommonFiltersDialogue,BhFilters,?,"""ButtonLabel1""",,,System.Windows.Forms.AnchorStyles.Left,none,,GAP?,
CommonFiltersDialogue,SplitterLine1,?,,,System.Windows.Forms.DockStyle.Top,,none,,GAP?,
CommonFiltersDialogue,SplitterLine2,?,,,System.Windows.Forms.DockStyle.Top,,none,,GAP?,
CommonFiltersDialogue,LpFilterLists,?,,,System.Windows.Forms.DockStyle.Fill,,none,,GAP?,
CommonFiltersDialogue,LvRatingFilters,?,,,System.Windows.Forms.DockStyle.Fill,,none,,GAP?,
CommonFiltersDialogue,ColumnHeaderPlus2,?,"""Ratings""",,,,none,,GAP?,
CommonFiltersDialogue,SplitterLine3,?,,,,,none,,GAP?,
CommonFiltersDialogue,LvGroupFilters,?,,,System.Windows.Forms.DockStyle.Fill,,none,,GAP?,
CommonFiltersDialogue,ColumnHeaderPlus1,?,"""Group Names""",,,,none,,GAP?,
CommonFiltersDialogue,ImDefaultCheckBox,ImageList,,,,,none,,GAP?,
CrashDumpManager,LpMain,?,,,System.Windows.Forms.DockStyle.Fill,,none,,GAP?,
CrashDumpManager,LpActions,?,,,System.Windows.Forms.DockStyle.Fill,,none,,GAP?,
CrashDumpManager,BtClose,?,"""&Close""",,,,none,,GAP?,
CrashDumpManager,BtDeleteAll,?,"""Delete &All""",,,,none,,GAP?,
CrashDumpManager,BtDelete,?,"""&Delete""",,,,none,,GAP?,
CrashDumpManager,BtSubmit,?,"""&Submit""",,,,none,,GAP?,
CrashDumpManager,LvCrashFiles,?,,,System.Windows.Forms.DockStyle.Fill,,none,,GAP?,
CrashDumpManager,ColumnHeaderPlus1,?,"""Date and Time of Crash""",,,,none,,GAP?,
CrashDumpManager,SplitterLine1,?,,,System.Windows.Forms.DockStyle.Top,,none,,GAP?,
CrashDumpManager,LbInfo,?,"""Optional information""",,,System.Windows.Forms.AnchorStyles.Left,none,,GAP?,
CrashDumpManager,BgOpenSupportPage,System.ComponentModel.BackgroundWorker,,,,,none,,GAP?,
CrashDumpManager,TtHelp,LazWorks.Library.Controls.ToolTipPlus,,,,,none,,GAP?,
CreateInstaller,TlCreateInstaller,?,,,System.Windows.Forms.DockStyle.Fill,,none,,GAP?,
CreateInstaller,TlActions,?,,,System.Windows.Forms.DockStyle.Fill,,none,,GAP?,
CreateInstaller,BtCancel,?,"""Cancel""",,,CType(((System.Windows.Forms.AnchorStyles.Bottom Or System.Windows.Forms.AnchorStyles.Left) _,none,,GAP?,
CreateInstaller,LbOperation,?,"""Operation (Analysing, Extracting)...""",,,"CType((System.Windows.Forms.AnchorStyles.Left Or System.Windows.Forms.AnchorStyles.Right), System.Windows.Forms.AnchorStyles)",none,,GAP?,
CreateInstaller,PbInfo,?,"""Extracting 1 of 10 compressed files""",,,"CType((System.Windows.Forms.AnchorStyles.Left Or System.Windows.Forms.AnchorStyles.Right), System.Windows.Forms.AnchorStyles)",none,,GAP?,
CreateInstaller,LbModname,?,"""Mod Name""",,,"CType((System.Windows.Forms.AnchorStyles.Left Or System.Windows.Forms.AnchorStyles.Right), System.Windows.Forms.AnchorStyles)",none,,GAP?,
CreateInstaller,LbFilename,?,"""Filename or Folder\Filename""",,,"CType((System.Windows.Forms.AnchorStyles.Left Or System.Windows.Forms.AnchorStyles.Right), System.Windows.Forms.AnchorStyles)",none,,GAP?,
CreateInstaller,BgScanner,System.ComponentModel.BackgroundWorker,,,,,strong,vaultkeeper/game/installer_build.py,AUTO-PORTED,
CreateInstaller,BgExtractor,System.ComponentModel.BackgroundWorker,,,,,strong,vaultkeeper/game/installer_build.py,AUTO-PORTED,
CreateInstaller,BgAnalyser,System.ComponentModel.BackgroundWorker,,,,,strong,vaultkeeper/game/installer_build.py,AUTO-PORTED,
CreateInstaller,BgCreate,System.ComponentModel.BackgroundWorker,,,,,none,,GAP?,
CreateInstaller,BgConverter,System.ComponentModel.BackgroundWorker,,,,,strong,vaultkeeper/game/bik_convert.py | vaultkeeper/game/installer_build.py | vaultkeeper/ui/controller.py,AUTO-PORTED,
CreateMissingInstallers,LpMain,?,,,System.Windows.Forms.DockStyle.Fill,,none,,GAP?,
