file,type,member,kind,handles,vb_ref,match,port_hint,status,notes
AliasSectionEditor.vb,AliasSectionEditor,ChangeFolder,Sub,,AliasSectionEditor.vb:359,none,,Deferred,"CrashDumpManager (Windows crash dumps), AliasSectionEditor (MsAliasSection dead), HakPatchEditor (MsHakPatchEditor dead; read-only model ported), ExtendedEditionDialogue (EE user-folder prompt; editions detection ported in editions.py/locations.py)."
AliasSectionEditor.vb,AliasSectionEditor,RestoreFolder,Sub,,AliasSectionEditor.vb:432,none,,Deferred,"CrashDumpManager (Windows crash dumps), AliasSectionEditor (MsAliasSection dead), HakPatchEditor (MsHakPatchEditor dead; read-only model ported), ExtendedEditionDialogue (EE user-folder prompt; editions detection ported in editions.py/locations.py)."
AliasSectionEditor.vb,AliasSectionEditor,RefreshContextMenu,Sub,,AliasSectionEditor.vb:452,none,,Deferred,"CrashDumpManager (Windows crash dumps), AliasSectionEditor (MsAliasSection dead), HakPatchEditor (MsHakPatchEditor dead; read-only model ported), ExtendedEditionDialogue (EE user-folder prompt; editions detection ported in editions.py/locations.py)."
AliasSectionEditor.vb,AliasSectionEditor,SavesTypeSuffix,Sub,,AliasSectionEditor.vb:467,none,,Deferred,"CrashDumpManager (Windows crash dumps), AliasSectionEditor (MsAliasSection dead), HakPatchEditor (MsHakPatchEditor dead; read-only model ported), ExtendedEditionDialogue (EE user-folder prompt; editions detection ported in editions.py/locations.py)."
AliasSectionEditor.vb,AliasSectionEditor,ProcessCmdKey,Function,,AliasSectionEditor.vb:479,none,,Divergence,"bounded read-only viewer port: VB filters/navigation/editors/bg-workers/Windows-shell handlers intentionally not ported (PARITY.md recurring pattern). SOME are owner-confirm candidates: ModExplorer filter subsystem, PortraitManager prev/next navigation."
ApplicationEvents.vb,MyApplication,MyApplication_Startup,Sub,Me.Startup,ApplicationEvents.vb:28,none,,GAP?,
ApplicationEvents.vb,MyApplication,MyApplication_UnhandledException,Sub,Me.UnhandledException,ApplicationEvents.vb:65,none,,GAP?,
ApplicationEvents.vb,MyApplication,LogExceptionInfo,Sub,,ApplicationEvents.vb:156,none,,GAP?,
ApplicationEvents.vb,MyApplication,MyApplication_StartupNextInstance,Sub,Me.StartupNextInstance,ApplicationEvents.vb:196,none,,GAP?,
ApplicationEvents.vb,MyApplication,RestartOnShutdown,Property,,ApplicationEvents.vb:217,none,,GAP?,
ApplicationEvents.vb,MyApplication,MyApplication_Shutdown,Sub,Me.Shutdown,ApplicationEvents.vb:219,none,,GAP?,
BackupManager.Methods.vb,BackupManager,DisplaySelectionInfo,Sub,,BackupManager.Methods.vb:24,none,,Deferred,BackupManager + NetworkManager shared-store/sync + SlideShow + find-rename + original-restorers + prefix editor + legacy migrate.
BackupManager.Methods.vb,BackupManager,PopulateStandard,Function,,BackupManager.Methods.vb:93,none,,Deferred,BackupManager + NetworkManager shared-store/sync + SlideShow + find-rename + original-restorers + prefix editor + legacy migrate.
BackupManager.Methods.vb,BackupManager,UpdateListView,Sub,,BackupManager.Methods.vb:118,none,,Deferred,BackupManager + NetworkManager shared-store/sync + SlideShow + find-rename + original-restorers + prefix editor + legacy migrate.
BackupManager.Methods.vb,BackupManager,DeleteFiles,Sub,,BackupManager.Methods.vb:180,none,,Deferred,BackupManager + NetworkManager shared-store/sync + SlideShow + find-rename + original-restorers + prefix editor + legacy migrate.
BackupManager.Methods.vb,BackupManager,DeleteMods,Sub,,BackupManager.Methods.vb:197,none,,Deferred,BackupManager + NetworkManager shared-store/sync + SlideShow + find-rename + original-restorers + prefix editor + legacy migrate.
BackupManager.Methods.vb,BackupManager,RemoveItems,Sub,,BackupManager.Methods.vb:219,none,,Deferred,BackupManager + NetworkManager shared-store/sync + SlideShow + find-rename + original-restorers + prefix editor + legacy migrate.
BackupManager.TypeInfo.vb,TypeInfo,DataType,Property,,BackupManager.TypeInfo.vb:45,none,,Deferred,BackupManager + NetworkManager shared-store/sync + SlideShow + find-rename + original-restorers + prefix editor + legacy migrate.
BackupManager.TypeInfo.vb,TypeInfo,ListView,Property,,BackupManager.TypeInfo.vb:50,strong,vaultkeeper/core/mapper.py,Deferred,BackupManager + NetworkManager shared-store/sync + SlideShow + find-rename + original-restorers + prefix editor + legacy migrate.
BackupManager.TypeInfo.vb,TypeInfo,ActionAllowed,Property,,BackupManager.TypeInfo.vb:55,none,,Deferred,BackupManager + NetworkManager shared-store/sync + SlideShow + find-rename + original-restorers + prefix editor + legacy migrate.
BackupManager.TypeInfo.vb,TypeInfo,ActionText,Property,,BackupManager.TypeInfo.vb:60,none,,Deferred,BackupManager + NetworkManager shared-store/sync + SlideShow + find-rename + original-restorers + prefix editor + legacy migrate.
BackupManager.TypeInfo.vb,TypeInfo,DeleteText,Property,,BackupManager.TypeInfo.vb:65,none,,Deferred,BackupManager + NetworkManager shared-store/sync + SlideShow + find-rename + original-restorers + prefix editor + legacy migrate.
BackupManager.TypeInfo.vb,TypeInfo,TotalSize,Property,,BackupManager.TypeInfo.vb:70,strong,vaultkeeper/game/game_backup.py | vaultkeeper/game/game_saves.py | vaultkeeper/ui/controller.py,Deferred,BackupManager + NetworkManager shared-store/sync + SlideShow + find-rename + original-restorers + prefix editor + legacy migrate.
BackupManager.TypeInfo.vb,TypeInfo,New,Sub,,BackupManager.TypeInfo.vb:83,strong,vaultkeeper/core/hak_patch.py | vaultkeeper/core/mapper.py | vaultkeeper/core/name_edit.py,N/A,framework/designer-generated
BackupManager.TypeInfo.vb,TypeInfo,New,Sub,,BackupManager.TypeInfo.vb:94,strong,vaultkeeper/core/hak_patch.py | vaultkeeper/core/mapper.py | vaultkeeper/core/name_edit.py,N/A,framework/designer-generated
BackupManager.TypeInfo.vb,TypeInfo,New,Sub,,BackupManager.TypeInfo.vb:106,strong,vaultkeeper/core/hak_patch.py | vaultkeeper/core/mapper.py | vaultkeeper/core/name_edit.py,N/A,framework/designer-generated
BackupManager.vb,BackupManager,ActionType,Property,,BackupManager.vb:28,none,,Deferred,BackupManager + NetworkManager shared-store/sync + SlideShow + find-rename + original-restorers + prefix editor + legacy migrate.
BackupManager.vb,BackupManager,ActionItem,Property,,BackupManager.vb:35,none,,Deferred,BackupManager + NetworkManager shared-store/sync + SlideShow + find-rename + original-restorers + prefix editor + legacy migrate.
BackupManager.vb,BackupManager,ActionText,Property,,BackupManager.vb:40,none,,Deferred,BackupManager + NetworkManager shared-store/sync + SlideShow + find-rename + original-restorers + prefix editor + legacy migrate.
BackupManager.vb,BackupManager,DataInfo,Property,,BackupManager.vb:52,none,,Deferred,BackupManager + NetworkManager shared-store/sync + SlideShow + find-rename + original-restorers + prefix editor + legacy migrate.
BackupManager.vb,BackupManager,TotalSize,Property,,BackupManager.vb:64,strong,vaultkeeper/game/game_backup.py | vaultkeeper/game/game_saves.py | vaultkeeper/ui/controller.py,Deferred,BackupManager + NetworkManager shared-store/sync + SlideShow + find-rename + original-restorers + prefix editor + legacy migrate.
BackupManager.vb,BackupManager,FolderInfo,Property,,BackupManager.vb:77,comment,vaultkeeper/core/constants.py | vaultkeeper/core/mapper.py | vaultkeeper/game/nwn_folders.py,Deferred,BackupManager + NetworkManager shared-store/sync + SlideShow + find-rename + original-restorers + prefix editor + legacy migrate.
BackupManager.vb,BackupManager,ModInfo,Property,,BackupManager.vb:90,strong,vaultkeeper/game/workshop.py,Deferred,BackupManager + NetworkManager shared-store/sync + SlideShow + find-rename + original-restorers + prefix editor + legacy migrate.
BackupManager.vb,BackupManager,AutoImport,Property,,BackupManager.vb:121,none,,Deferred,BackupManager + NetworkManager shared-store/sync + SlideShow + find-rename + original-restorers + prefix editor + legacy migrate.
BackupManager.vb,BackupManager,Initialising,Property,,BackupManager.vb:126,none,,Deferred,BackupManager + NetworkManager shared-store/sync + SlideShow + find-rename + original-restorers + prefix editor + legacy migrate.
BackupManager.vb,BackupManager,SelectedSize,Property,,BackupManager.vb:136,none,,Deferred,BackupManager + NetworkManager shared-store/sync + SlideShow + find-rename + original-restorers + prefix editor + legacy migrate.
BackupManager.vb,BackupManager,TabPage,Property,,BackupManager.vb:160,none,,Deferred,BackupManager + NetworkManager shared-store/sync + SlideShow + find-rename + original-restorers + prefix editor + legacy migrate.
BackupManager.vb,BackupManager,New,Sub,,BackupManager.vb:176,strong,vaultkeeper/core/hak_patch.py | vaultkeeper/core/mapper.py | vaultkeeper/core/name_edit.py,N/A,framework/designer-generated
BackupManager.vb,BackupManager,ShowDialog,Function,,BackupManager.vb:197,strong,vaultkeeper/ui/dialogs/about.py | vaultkeeper/ui/dialogs/classes_skills_feats.py | vaultkeeper/ui/main_window.py,Ported,DocOrganiser/ModPlayViewer/WizardBuilder core report/view/save logic (subagent+orchestrator).
BackupManager.vb,BackupManager,ShowDialog,Function,,BackupManager.vb:205,strong,vaultkeeper/ui/dialogs/about.py | vaultkeeper/ui/dialogs/classes_skills_feats.py | vaultkeeper/ui/main_window.py,Ported,DocOrganiser/ModPlayViewer/WizardBuilder core report/view/save logic (subagent+orchestrator).
BackupManager.vb,BackupManager,BackupManager_Load,Sub,MyBase.Load,BackupManager.vb:214,none,,Deferred,BackupManager + NetworkManager shared-store/sync + SlideShow + find-rename + original-restorers + prefix editor + legacy migrate.
BackupManager.vb,BackupManager,BackupManager_Shown,Sub,Me.Shown,BackupManager.vb:317,none,,Deferred,BackupManager + NetworkManager shared-store/sync + SlideShow + find-rename + original-restorers + prefix editor + legacy migrate.
BackupManager.vb,BackupManager,BhBackupManager_Click,Sub,BhBackupManager.Click,BackupManager.vb:342,none,,Deferred,BackupManager + NetworkManager shared-store/sync + SlideShow + find-rename + original-restorers + prefix editor + legacy migrate.
BackupManager.vb,BackupManager,BtAction_SizeChanged,Sub,BtAction.SizeChanged,BackupManager.vb:360,none,,Deferred,BackupManager + NetworkManager shared-store/sync + SlideShow + find-rename + original-restorers + prefix editor + legacy migrate.
BackupManager.vb,BackupManager,BtAction_Click,Sub,BtAction.Click,BackupManager.vb:368,none,,Deferred,BackupManager + NetworkManager shared-store/sync + SlideShow + find-rename + original-restorers + prefix editor + legacy migrate.
BackupManager.vb,BackupManager,BackupManager_KeyUp,Sub,Me.KeyUp,BackupManager.vb:385,none,,Deferred,BackupManager + NetworkManager shared-store/sync + SlideShow + find-rename + original-restorers + prefix editor + legacy migrate.
BackupManager.vb,BackupManager,BtDelete_Click,Sub,BtDelete.Click,BackupManager.vb:395,none,,Partial,"WizardBuilder transfer/display + GameManager archive/restore/activate/deactivate/delete actions (core ported, VB wiring divergent)."
BackupManager.vb,BackupManager,BtCancel_Click,Sub,BtCancel.Click,BackupManager.vb:433,none,,Divergence,WinForms event/progress/UI plumbing refactored into controller/vault + bounded viewer (search/copy-paste/nav). Owner-confirm candidates: StartScreen export/copy-paste/search.
BackupManager.vb,BackupManager,TbBackupManager_SelectedIndexChanged,Sub,TbBackupManager.SelectedIndexChanged,BackupManager.vb:448,none,,Deferred,BackupManager + NetworkManager shared-store/sync + SlideShow + find-rename + original-restorers + prefix editor + legacy migrate.
BackupManager.vb,BackupManager,Lv_SelectedIndexChanged,Sub,"LvBackups.SelectedIndexChanged, LvSettings.SelectedIndexChanged",BackupManager.vb:461,none,,Divergence,"WinForms lifecycle/event/virtual-list/bg-worker + bounded-viewer extras (owner-confirm: ModPlayViewer end-level filter/recent, DocOrganiser rtf/properties)."
BackupManager.vb,BackupManager,LvMods_SelectedIndexChanged,Sub,LvMods.SelectedIndexChanged,BackupManager.vb:478,none,,Deferred,ModFindAndRename (dead MsFindAndRename) + DocOrganiser Properties/Reset + wizard file-threshold.
BackupManager.vb,BackupManager,Lv_ItemClicked,Sub,"LvBackups.ItemClicked, LvSettings.ItemClicked, LvMods.ItemClicked",BackupManager.vb:502,none,,Divergence,WinForms event/progress/UI plumbing refactored into controller/vault + bounded viewer (search/copy-paste/nav). Owner-confirm candidates: StartScreen export/copy-paste/search.
BackupManager.vb,BackupManager,WndProc,Sub,,BackupManager.vb:524,none,,Divergence,"bounded read-only viewer port: VB filters/navigation/editors/bg-workers/Windows-shell handlers intentionally not ported (PARITY.md recurring pattern). SOME are owner-confirm candidates: ModExplorer filter subsystem, PortraitManager prev/next navigation."
BackupManager.vb,BackupManager,BgBackups_DoWork,Sub,BgBackups.DoWork,BackupManager.vb:558,none,,Deferred,BackupManager + NetworkManager shared-store/sync + SlideShow + find-rename + original-restorers + prefix editor + legacy migrate.
BackupManager.vb,BackupManager,BgSettings_DoWork,Sub,BgSettings.DoWork,BackupManager.vb:568,none,,Deferred,BackupManager + NetworkManager shared-store/sync + SlideShow + find-rename + original-restorers + prefix editor + legacy migrate.
BackupManager.vb,BackupManager,BgStandard_ProgressChanged,Sub,"BgBackups.ProgressChanged, BgSettings.ProgressChanged",BackupManager.vb:580,none,,Deferred,BackupManager + NetworkManager shared-store/sync + SlideShow + find-rename + original-restorers + prefix editor + legacy migrate.
BackupManager.vb,BackupManager,BgMods_DoWork,Sub,BgMods.DoWork,BackupManager.vb:590,none,,Deferred,BackupManager + NetworkManager shared-store/sync + SlideShow + find-rename + original-restorers + prefix editor + legacy migrate.
BackupManager.vb,BackupManager,BgMods_ProgressChanged,Sub,BgMods.ProgressChanged,BackupManager.vb:622,none,,Deferred,BackupManager + NetworkManager shared-store/sync + SlideShow + find-rename + original-restorers + prefix editor + legacy migrate.
BackupManager.vb,BackupManager,ProcessCmdKey,Function,,BackupManager.vb:645,none,,Divergence,"bounded read-only viewer port: VB filters/navigation/editors/bg-workers/Windows-shell handlers intentionally not ported (PARITY.md recurring pattern). SOME are owner-confirm candidates: ModExplorer filter subsystem, PortraitManager prev/next navigation."
BasicSettings.vb,BasicSettings,BasicSettings_Load,Sub,MyBase.Load,BasicSettings.vb:29,none,,Divergence,Classes/Skills/Feats + Dependency editor + Basic Settings are ported in dedicated modules; these VB dialog methods are WinForms/virtual-list plumbing.
BasicSettings.vb,BasicSettings,CbCommon_CheckedChanged,Sub,"CbInstallAuto.CheckedChanged, CbBehaviourSelectGameMod.CheckedChanged, CbConfigCopyOnPlay.CheckedChanged",BasicSettings.vb:90,none,,Divergence,Classes/Skills/Feats + Dependency editor + Basic Settings are ported in dedicated modules; these VB dialog methods are WinForms/virtual-list plumbing.
BasicSettings.vb,BasicSettings,CbCopyDebugModeOnPlay_CheckedChanged,Sub,,BasicSettings.vb:103,none,,Divergence,Classes/Skills/Feats + Dependency editor + Basic Settings are ported in dedicated modules; these VB dialog methods are WinForms/virtual-list plumbing.
BasicSettings.vb,BasicSettings,CbInstallRestore_CheckedChanged,Sub,CbInstallRestore.CheckedChanged,BasicSettings.vb:129,none,,Divergence,Classes/Skills/Feats + Dependency editor + Basic Settings are ported in dedicated modules; these VB dialog methods are WinForms/virtual-list plumbing.
BasicSettings.vb,BasicSettings,PicCheckBox_Click,Sub,,BasicSettings.vb:141,none,,Divergence,Classes/Skills/Feats + Dependency editor + Basic Settings are ported in dedicated modules; these VB dialog methods are WinForms/virtual-list plumbing.
BasicSettings.vb,BasicSettings,RbLine_CheckedChanged,Sub,,BasicSettings.vb:151,none,,Divergence,Classes/Skills/Feats + Dependency editor + Basic Settings are ported in dedicated modules; these VB dialog methods are WinForms/virtual-list plumbing.
BasicSettings.vb,BasicSettings,BhBasicSettings_Click,Sub,BhBasicSettings.Click,BasicSettings.vb:166,none,,Divergence,Classes/Skills/Feats + Dependency editor + Basic Settings are ported in dedicated modules; these VB dialog methods are WinForms/virtual-list plumbing.
BasicSettings.vb,BasicSettings,BtSelection_Click,Sub,BtSelection.Click,BasicSettings.vb:176,none,,Divergence,Classes/Skills/Feats + Dependency editor + Basic Settings are ported in dedicated modules; these VB dialog methods are WinForms/virtual-list plumbing.
BasicSettings.vb,BasicSettings,BtAdvanced_Click,Sub,BtAdvanced.Click,BasicSettings.vb:184,none,,Divergence,Classes/Skills/Feats + Dependency editor + Basic Settings are ported in dedicated modules; these VB dialog methods are WinForms/virtual-list plumbing.
BasicSettings.vb,BasicSettings,BtApply_Click,Sub,BtApply.Click,BasicSettings.vb:195,strong,vaultkeeper/ui/dialogs/character_filter.py,Deferred,ModFindAndRename (dead MsFindAndRename) + DocOrganiser Properties/Reset + wizard file-threshold.
BasicSettings.vb,BasicSettings,BtCancel_Click,Sub,BtCancel.Click,BasicSettings.vb:245,none,,Divergence,WinForms event/progress/UI plumbing refactored into controller/vault + bounded viewer (search/copy-paste/nav). Owner-confirm candidates: StartScreen export/copy-paste/search.
BicFileInfo.vb,BicFileInfo,TitleIndex,Function,,BicFileInfo.vb:142,strong,vaultkeeper/game/character.py,AUTO-PORTED,
BicFileInfo.vb,BicFileInfo,SkillInfo,Property,,BicFileInfo.vb:157,none,,GAP?,
BicFileInfo.vb,BicFileInfo,PlayerFeats,Property,,BicFileInfo.vb:186,none,,GAP?,
BicFileInfo.vb,BicFileInfo,Portrait,Property,,BicFileInfo.vb:200,strong,vaultkeeper/core/formats/bic_reader.py | vaultkeeper/core/formats/erf_reader.py | vaultkeeper/core/formats/tga_reader.py,AUTO-PORTED,
BicFileInfo.vb,BicFileInfo,CharacterLevel,Property,,BicFileInfo.vb:206,comment,vaultkeeper/game/character_filter.py | vaultkeeper/ui/dialogs/character_viewer.py,AUTO-PORTED,matched in comment/docstring
BicFileInfo.vb,BicFileInfo,LevelSummary,Property,,BicFileInfo.vb:216,strong,vaultkeeper/game/character.py | vaultkeeper/ui/dialogs/character_viewer.py,AUTO-PORTED,
BicFileInfo.vb,BicFileInfo,PortraitDirectories,Property,,BicFileInfo.vb:226,strong,vaultkeeper/ui/controller.py,AUTO-PORTED,
BicFileInfo.vb,BicFileInfo,CharacterSummary,Function,,BicFileInfo.vb:250,strong,vaultkeeper/game/character.py | vaultkeeper/ui/resources.py,AUTO-PORTED,
BicFileInfo.vb,BicFileInfo,DisplayCharacterInformation,Sub,,BicFileInfo.vb:444,none,,GAP?,
BicFileInfo.vb,BicFileInfo,SkillDescription,Function,,BicFileInfo.vb:457,none,,GAP?,
BicFileInfo.vb,BicFileInfo,FeatDescription,Function,,BicFileInfo.vb:473,none,,GAP?,
BicFileInfo.vb,BicFileInfo,GetSkills,Sub,,BicFileInfo.vb:489,strong,vaultkeeper/game/character.py | vaultkeeper/game/character_reference.py,AUTO-PORTED,
BicFileInfo.vb,BicFileInfo,GetFeats,Sub,,BicFileInfo.vb:511,strong,vaultkeeper/game/character.py | vaultkeeper/game/character_reference.py,AUTO-PORTED,
BicFileInfo.vb,BicFileInfo,GetNames,Sub,,BicFileInfo.vb:535,strong,vaultkeeper/game/character_reference.py,Divergence,WinForms lifecycle/event/virtual-list/background-worker/mouse-hover plumbing.
BicFileInfo.vb,BicFileInfo,GetNames,Sub,,BicFileInfo.vb:555,strong,vaultkeeper/game/character_reference.py,Divergence,WinForms lifecycle/event/virtual-list/background-worker/mouse-hover plumbing.
BicFileInfo.vb,BicFileInfo,GetDescriptions,Sub,,BicFileInfo.vb:583,strong,vaultkeeper/game/character_reference.py,AUTO-PORTED,
BicFileInfo.vb,BicFileInfo,GetDescriptions,Sub,,BicFileInfo.vb:618,strong,vaultkeeper/game/character_reference.py,AUTO-PORTED,
BicNameInfo.vb,BicNameInfo,Name,Property,,BicNameInfo.vb:20,strong,vaultkeeper/config/settings.py | vaultkeeper/core/archive.py | vaultkeeper/core/change_data.py,AUTO-PORTED,
BicNameInfo.vb,BicNameInfo,Ref,Property,,BicNameInfo.vb:26,strong,vaultkeeper/game/character.py | vaultkeeper/game/character_reference.py,AUTO-PORTED,
BicNameInfo.vb,BicNameInfo,New,Sub,,BicNameInfo.vb:31,strong,vaultkeeper/core/hak_patch.py | vaultkeeper/core/mapper.py | vaultkeeper/core/name_edit.py,N/A,framework/designer-generated
BicNameInfo.vb,BicNameInfo,New,Sub,,BicNameInfo.vb:39,strong,vaultkeeper/core/hak_patch.py | vaultkeeper/core/mapper.py | vaultkeeper/core/name_edit.py,N/A,framework/designer-generated
BicNameInfo.vb,BicNameInfo,New,Sub,,BicNameInfo.vb:48,strong,vaultkeeper/core/hak_patch.py | vaultkeeper/core/mapper.py | vaultkeeper/core/name_edit.py,N/A,framework/designer-generated
BikToWbmDialogue.vb,BikToWbmDialogue,FileCount,Property,,BikToWbmDialogue.vb:35,none,,GAP?,
BikToWbmDialogue.vb,BikToWbmDialogue,Converted,Property,,BikToWbmDialogue.vb:44,strong,vaultkeeper/ui/controller.py | vaultkeeper/ui/main_window.py,AUTO-PORTED,
BikToWbmDialogue.vb,BikToWbmDialogue,Failed,Property,,BikToWbmDialogue.vb:49,strong,vaultkeeper/core/archive.py | vaultkeeper/game/client_log.py | vaultkeeper/game/recovery.py,AUTO-PORTED,
BikToWbmDialogue.vb,BikToWbmDialogue,IncompleteMods,Property,,BikToWbmDialogue.vb:54,none,,GAP?,
BikToWbmDialogue.vb,BikToWbmDialogue,ShowDialog,Function,,BikToWbmDialogue.vb:63,strong,vaultkeeper/ui/dialogs/about.py | vaultkeeper/ui/dialogs/classes_skills_feats.py | vaultkeeper/ui/main_window.py,Ported,DocOrganiser/ModPlayViewer/WizardBuilder core report/view/save logic (subagent+orchestrator).
BikToWbmDialogue.vb,BikToWbmDialogue,BikToWbmDialogue_Load,Sub,MyBase.Load,BikToWbmDialogue.vb:81,none,,GAP?,
BikToWbmDialogue.vb,BikToWbmDialogue,BikToWbmDialogue_Shown,Sub,Me.Shown,BikToWbmDialogue.vb:99,none,,GAP?,
BikToWbmDialogue.vb,BikToWbmDialogue,BikToWbmDialogue_FormClosing,Sub,Me.FormClosing,BikToWbmDialogue.vb:110,none,,GAP?,
BikToWbmDialogue.vb,BikToWbmDialogue,BtCancel_Click,Sub,BtCancel.Click,BikToWbmDialogue.vb:120,none,,Divergence,WinForms event/progress/UI plumbing refactored into controller/vault + bounded viewer (search/copy-paste/nav). Owner-confirm candidates: StartScreen export/copy-paste/search.
BikToWbmDialogue.vb,BikToWbmDialogue,WndProc,Sub,,BikToWbmDialogue.vb:141,none,,Divergence,"bounded read-only viewer port: VB filters/navigation/editors/bg-workers/Windows-shell handlers intentionally not ported (PARITY.md recurring pattern). SOME are owner-confirm candidates: ModExplorer filter subsystem, PortraitManager prev/next navigation."
BikToWbmDialogue.vb,BikToWbmDialogue,BgConverter_DoWork,Sub,BgConverter.DoWork,BikToWbmDialogue.vb:173,none,,Divergence,WinForms lifecycle/event/virtual-list/background-worker plumbing; N/A in Qt.
BikToWbmDialogue.vb,BikToWbmDialogue,BgConverter_ProgressChanged,Sub,BgConverter.ProgressChanged,BikToWbmDialogue.vb:203,none,,Divergence,WinForms lifecycle/event/virtual-list/background-worker plumbing; N/A in Qt.
BikToWbmDialogue.vb,BikToWbmDialogue,BgConverter_RunWorkerCompleted,Sub,BgConverter.RunWorkerCompleted,BikToWbmDialogue.vb:226,none,,Divergence,WinForms lifecycle/event/virtual-list/background-worker plumbing; N/A in Qt.
BikToWbmDialogue.vb,ConversionInfo,WbmFile,Property,,BikToWbmDialogue.vb:246,comment,vaultkeeper/ui/controller.py,AUTO-PORTED,matched in comment/docstring
BikToWbmDialogue.vb,ConversionInfo,Converted,Property,,BikToWbmDialogue.vb:251,strong,vaultkeeper/ui/controller.py | vaultkeeper/ui/main_window.py,AUTO-PORTED,
BikToWbmDialogue.vb,ConversionInfo,New,Sub,,BikToWbmDialogue.vb:257,strong,vaultkeeper/core/hak_patch.py | vaultkeeper/core/mapper.py | vaultkeeper/core/name_edit.py,N/A,framework/designer-generated
CalculateCRCs.CrcInfo.vb,CrcInfo,New,Sub,,CalculateCRCs.CrcInfo.vb:30,strong,vaultkeeper/core/hak_patch.py | vaultkeeper/core/mapper.py | vaultkeeper/core/name_edit.py,N/A,framework/designer-generated
CalculateCRCs.CrcInfo.vb,CrcInfo,BgIndex,Property,,CalculateCRCs.CrcInfo.vb:50,none,,GAP?,
CalculateCRCs.CrcInfo.vb,CrcInfo,Index,Property,,CalculateCRCs.CrcInfo.vb:58,strong,vaultkeeper/core/file_key.py | vaultkeeper/core/formats/bic_reader.py | vaultkeeper/core/formats/gff_reader.py,AUTO-PORTED,
CalculateCRCs.CrcInfo.vb,CrcInfo,Key,Property,,CalculateCRCs.CrcInfo.vb:66,strong,vaultkeeper/config/settings.py | vaultkeeper/core/change_data.py | vaultkeeper/core/ci_dict.py,AUTO-PORTED,
CalculateCRCs.CrcInfo.vb,CrcInfo,FullName,Property,,CalculateCRCs.CrcInfo.vb:74,strong,vaultkeeper/core/profile_data.py | vaultkeeper/game/documentation.py | vaultkeeper/game/game_backup.py,AUTO-PORTED,
